,Address,Category,Latitude,Longitude,Name,Neighborhood
0,"Pl. Oriente, 2",Food,40.41808083605312,-3.7118667284955524,Café de Oriente,Palacio
1,Plaza De Oriente 6,Food,40.41859789204018,-3.711351817860091,La Lonja del Mar,Palacio
2,27 C. de Preciados,Food,40.419667845686355,-3.7061354223688325,Starbucks Preciados 27,Palacio
3,"C. Pasadizo de San Ginés, 5",Food,40.416754336997364,-3.7070788402276738,Chocolatería San Ginés,Palacio
4,Calle Mayor,Food,40.41609478587808,-3.7081185796186933,Torrons Vicens: Artesa D' Agramunt,Palacio
5,"C. Mayor, 7",Food,40.416343036500216,-3.7056822482813363,Museo del Jamón,Palacio
6,,Food,40.415045,-3.708306,Mesón De San Miguel,Palacio
7,"C. Mayor, 2",Food,40.416651463931025,-3.7046623706905586,La Mallorquina,Palacio
8,Plaza Mayor,Food,40.41544584984964,-3.707157165211599,Una Copa de Balon,Palacio
9,Mercado de San Miguel,Food,40.41531278398085,-3.711930078230289,Horno La Santiaguesa,Palacio
10,"C. Toledo, 28",Food,40.41388815007209,-3.7074780464172363,CUBIERTOS DE GLORIA,Palacio
11,Preciados 42,Food,40.41981940106343,-3.707394086611548,Steak Burguer Bar,Palacio
12,"C. Mayor, 22",Food,40.41635860896427,-3.7070212149731483,100 Montaditos,Palacio
13,"C. Ciudad Rodrigo, 5",Food,40.41573297582015,-3.708717822655616,Starbucks San Miguel,Palacio
14,"C. Preciados, 3",Food,40.41749665225322,-3.704686028127798,Club del Gourmet Corte Ingles,Palacio
15,"Calle de los Cuchilleros, 17, LOC;DUP 17-19;",Food,40.41401880132313,-3.708135518254039,Botín,Palacio
16,"C. Mayor, 88",Food,40.41521986421654,-3.713437962658213,Dehesa Santa María,Palacio
17,"Gran Vía, 52",Food,40.421018866969845,-3.706743491492044,McDonald's,Palacio
18,"C. de Las Fuentes, 1",Food,40.41684998102102,-3.7086242881877367,Ramen Kagura,Palacio
19,C/ Mayor 40,Food,40.41606544853993,-3.7083827962064877,Amorino,Palacio
20,"C. Gran Vía, 58",Food,40.421751918201934,-3.7083782102926905,Starbucks Gran Vía 58,Palacio
21,"C. Arenal, 14",Food,40.41719516711848,-3.706118548830636,Starbucks Arenal 14,Palacio
22,"Pl. de Callao, 4",Food,40.42003484156928,-3.7055200338363643,Starbucks Callao,Palacio
23,"C. Bordadores, 5",Food,40.416446825353354,-3.7076618347638624,El Ñeru,Palacio
24,"C. San Martín, 2",Food,40.41758135061494,-3.7070293825992406,Churrería Los Artesanos 1902,Palacio
25,Pl. Santo Domingo,Food,40.41975399757663,-3.7079075699841124,Tim Hortons,Palacio
26,"C. Cuchilleros, 3",Food,40.414695277015596,-3.708133805013643,Cafeeke,Palacio
27,C. Arenal,Food,40.417045824676954,-3.7057418628089156,Ferpal,Palacio
28,Plaza Conde de Barajas 3,Food,40.41445972417601,-3.7087736699569414,Federal Café 2,Palacio
29,"Gran Vía, 63",Food,40.42261871831218,-3.70974260765463,100 Montaditos,Palacio
30,"C. Mayor, 77",Food,40.41521786102789,-3.7121938520878386,Cervecería La Mayor,Palacio
